latitude,longitude,mean_air_pressure,uncertainty_std
-82.99894164283755,0.0,99781.56,382.2038
-82.99894164283755,1.875,99795.76,383.10443
-82.99894164283755,3.75,99808.42,383.87332
-82.99894164283755,5.625,99820.1,384.58945
-82.99894164283755,7.5,99828.93,385.29437
-82.99894164283755,9.375,99836.04,386.0586
-82.99894164283755,11.25,99843.2,386.918
-82.99894164283755,13.125,99848.92,387.9246
-82.99894164283755,15.0,99853.49,389.1254
-82.99894164283755,16.875,99857.57,390.53546
-82.99894164283755,18.75,99860.55,392.16245
-82.99894164283755,20.625,99864.2,394.03235
-82.99894164283755,22.5,99868.42,396.1165
-82.99894164283755,24.375,99872.33,398.39035
-82.99894164283755,26.25,99877.9,400.8391
-82.99894164283755,28.125,99883.3,403.4251
-82.99894164283755,30.0,99888.09,406.09338
-82.99894164283755,31.875,99894.35,408.80484
-82.99894164283755,33.75,99900.31,411.50385
-82.99894164283755,35.625,99905.52,414.11594
-82.99894164283755,37.5,99909.64,416.59195
-82.99894164283755,39.375,99912.5,418.8559
-82.99894164283755,41.25,99912.87,420.85846
-82.99894164283755,43.125,99909.76,422.5313
